well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B06D0381,53.272057921741514,5.973289310839779,-0.46,-1.0683,,,,,,,,,,,,,,
B06D0385,53.26607969274549,6.018170588393571,-0.23,,,,,,,,,,,,,,,
B06D0396,53.26127666323671,5.991125891115369,-0.8,,,,,,,,,,,,,,,
B06D0418,53.21979861246983,5.983958826356127,0.68,,,,,,,,,,,,,,,
B06D0439,53.18383246448663,5.9885487828679285,-0.65,,,,,,,,,,,,,,,
B06D0454,53.179392625616046,5.977867299302535,-0.5,-1.2101,,,,,,,,,,,,,,
B06D0460,53.17852516564987,5.989671605933769,0.54,-0.7059,,,,,,,,,,,,,,
B05H0231,53.17206173208944,5.707983219531328,0.37,,,,,,,,,,,,,,,
B05H0238,53.19127865351006,5.637807743007722,0.81,-0.1333,,,,,,,,,,,,,,
B05H0067,53.268992135552935,5.682369289684205,0.27,-0.6692,-0.544,-0.056,-0.6006,-0.056,-0.039,-0.59,-0.5,0.19,,,,,,
B06A0088,53.35690190497333,5.889136213480822,0.81,,,,,,,,,,,,,,,
B06A0112,53.32257346429499,5.821054815303734,0.44,,,,,,,,,,,,,,,
B06A0132,53.29739779079567,5.8941427361302035,-0.64,,,,,,,,,,,,,,,
B06B0141,53.292606867729965,5.996963379173265,1.45,,,,,,,,,,,,,,,
B06B0145,53.3847066864229,5.997066448282106,0.59,-0.2365,,,,,,,,,,,,,,
B06B0149,53.36991243462294,5.953889228914377,0.86,,,,,,,,,,,,,,,
B06B0226,53.27339748596085,6.060549618426696,0.33,-0.4168,,,,,,,,,,,,,,
B06B0232,53.326624184786766,5.925854245964171,-0.15,-0.8379,-1.342,0.607,,,,,,,,,,,,
B06B0235,53.28317220600854,5.986214681074564,0.46,-0.0681,-1,-0.4,,,,,,,,,,,,
B06C0266,53.26337903774301,5.863320726359927,-0.15,,,,,,,,,,,,,,,
B06C0268,53.25218968334262,5.7767484353946585,0.66,,,,,,,,,,,,,,,
B06C0270,53.25290801823154,5.776904743686413,0.25,,,,,,,,,,,,,,,
B06C0273,53.25376789840493,5.884640534441206,-0.48,,,,,,,,,,,,,,,
B06C0278,53.24174383969599,5.880607529492967,-0.19,-0.761,,,,,,,,,,,,,,
B06C0279,53.23982358797926,5.81932468460266,-0.1,,,,,,,,,,,,,,,
B06C0293,53.21791661369918,5.814315050077406,0.18,,,,,,,,,,,,,,,
B06C0296,53.2174123571076,5.897396115323625,-0.72,,,,,,,,,,,,,,,
B06C0300,53.199634200098906,5.894193499780175,0.08,,,,,,,,,,,,,,,
B06D0515,53.24969313919012,5.989540617402546,-0.74,,,,,,,,,,,,,,,
B06D0522,53.26913513952376,5.945520889373399,-0.9,-1.2565,-1,-0.354,,,,,,,,,,,,
B06E0164,53.36931442873681,6.069111163156209,0.75,-0.3911,,,,,,,,,,,,,,
B06E0213,53.272637285420664,6.128591885436075,0.99,,,,,,,,,,,,,,,
